RunNo,  Type,  MeanStopped,  MeanWaitingTime,  MeanAverageSpeed,  MeanAverageSpeed2,  MeanAverageSpeedCrossCheck,  MeanAverageCO2EmissionTL,  MeanAverageCOEmissionTL,  MeanAverageFuelConsumptionTL,  MeanAverageNoiseEmissionTL,  MeanAverageCO2Emission,  MeanAverageCOEmission,  MeanAverageFuelConsumption,  MeanAverageNoiseEmission,  
1,  testing,1.436,22.448,0.393,7.189,8.402,2922.124,88.155,1.256,60.241,2661.42,61.321,1.144,61.139,  
2,  testing,3.48,336.695,0.283,5.203,6.781,2900.4,110.582,1.247,59.174,2679.172,82.855,1.152,60.231,  
3,  testing,1.197,12.47,0.404,7.447,8.956,2965.608,85.332,1.275,60.322,2749.365,56.797,1.182,61.496,  
4,  testing,3.959,396.051,0.254,4.678,6.363,2885.771,116.501,1.241,58.874,2699.928,88.468,1.161,60.008,  
5,  testing,3.529,366.504,0.273,5.06,6.682,2909.587,112.472,1.251,59.106,2693.998,84.505,1.158,60.204,  
,min,1.197,12.47,0.254,4.678,6.363,2885.771,85.332,1.241,58.874,2661.42,56.797,1.144,60.008,
,max,3.959,396.051,0.404,7.447,8.956,2965.608,116.501,1.275,60.322,2749.365,88.468,1.182,61.496,
,average,2.7202,226.8336,0.3214,5.9154,7.4368,2916.698,102.6084,1.254,59.5434,2696.7766,74.7892,1.1594,60.6156,
,std,1.160636618,172.0099432,0.063732566,1.160882182,1.038501112,27.18197943,13.12438955,0.011593101,0.611348542,29.47270893,13.05124623,0.012705904,0.589162321,
1,  baseline,1.191,12.333,0.407,7.462,8.951,2956.401,84.881,1.271,60.321,2743.269,56.64,1.179,61.484,  
2,  baseline,1.19,12.332,0.406,7.457,8.959,2963.552,85.173,1.274,60.324,2747.725,56.703,1.181,61.492,  
3,  baseline,1.198,12.352,0.405,7.459,8.961,2963.683,85.227,1.274,60.337,2747.92,56.75,1.181,61.5,  
4,  baseline,1.19,12.299,0.407,7.46,8.947,2961.355,84.976,1.273,60.318,2745.636,56.693,1.18,61.48,  
5,  baseline,1.193,12.362,0.405,7.449,8.962,2964.567,85.224,1.274,60.312,2750.114,56.712,1.182,61.495,  
,min,1.19,12.299,0.405,7.449,8.947,2956.401,84.881,1.271,60.312,2743.269,56.64,1.179,61.48,
,max,1.198,12.362,0.407,7.462,8.962,2964.567,85.227,1.274,60.337,2750.114,56.75,1.182,61.5,
,average,1.1924,12.3356,0.406,7.4574,8.956,2961.9116,85.0962,1.2732,60.3224,2746.9328,56.6996,1.1806,61.4902,
,std,0.003006659,0.021564786,0.000894427,0.004498889,0.005932959,2.951488953,0.141491201,0.00116619,0.008309031,2.316346209,0.035499859,0.001019804,0.007277362,
